OrderDate,StockDate,OrderNumber,OrderQuantity,ProductKey,AccountKey,TerritoryKey,OrderLineItem
01.01.2024,12/13/2022,SO61285,2,529,23791,1,2
01.01.2024,9/24/2022,SO61285,1,214,23791,1,3
01.01.2024,09.04.2022,SO61285,1,540,23791,1,1
01.01.2024,9/28/2022,SO61301,2,529,16747,1,2
01.01.2024,10/21/2022,SO61301,1,377,16747,1,1
01.01.2024,10/23/2022,SO61301,1,540,16747,1,3
01.01.2024,09.04.2022,SO61269,1,215,11792,4,1
01.01.2024,10/21/2022,SO61269,1,229,11792,4,2
01.01.2024,10/24/2022,SO61286,2,528,11530,6,2
01.01.2024,9/27/2022,SO61286,2,536,11530,6,1
01.01.2024,10/23/2022,SO61298,2,530,18155,10,1
01.01.2024,12.02.2022,SO61298,1,214,18155,10,3
01.01.2024,12/15/2022,SO61298,1,223,18155,10,2
01.01.2024,10.01.2022,SO61310,2,538,13541,8,2
01.01.2024,11.08.2022,SO61310,1,584,13541,8,1
01.01.2024,12.06.2022,SO61270,2,485,18259,9,1
01.01.2024,10/31/2022,SO61289,2,528,23694,1,1
01.01.2024,11/16/2022,SO61289,2,536,23694,1,2
01.01.2024,11/20/2022,SO61289,1,215,23694,1,3
01.01.2024,10.12.2022,SO61278,2,477,22308,10,3
01.01.2024,9/28/2022,SO61278,1,479,22308,10,2
01.01.2024,12.10.2022,SO61278,1,488,22308,10,4
01.01.2024,9/25/2022,SO61278,1,580,22308,10,1
01.01.2024,10.01.2022,SO61305,1,583,20236,9,1
01.01.2024,9/13/2022,SO61283,2,529,26273,1,2
01.01.2024,9/27/2022,SO61283,2,538,26273,1,1
01.01.2024,09.03.2022,SO61283,1,220,26273,1,3
01.01.2024,11/23/2022,SO61288,2,528,19709,6,1
01.01.2024,10/30/2022,SO61288,2,536,19709,6,2
01.01.2024,11/21/2022,SO61288,1,220,19709,6,3
01.01.2024,11.05.2022,SO61272,2,480,21239,9,2
01.01.2024,09.08.2022,SO61272,2,528,21239,9,1
01.01.2024,11/16/2022,SO61276,3,223,17252,9,2
01.01.2024,10/31/2022,SO61276,1,488,17252,9,1
01.01.2024,10/21/2022,SO61294,2,477,17396,4,1
01.01.2024,10/21/2022,SO61294,2,484,17396,4,2
01.01.2024,09.08.2022,SO61274,3,223,27148,9,1
01.01.2024,10.08.2022,SO61274,1,475,27148,9,2
01.01.2024,11.03.2022,SO61307,1,215,20260,9,2
01.01.2024,10.06.2022,SO61307,1,582,20260,9,1
01.01.2024,11.06.2022,SO61279,2,485,12859,10,2
01.01.2024,12/14/2022,SO61279,1,362,12859,10,1
01.01.2024,11/13/2022,SO61271,2,538,20454,9,1
01.01.2024,9/23/2022,SO61271,1,480,20454,9,2
01.01.2024,9/15/2022,SO61295,2,480,14751,1,2
01.01.2024,12.03.2022,SO61295,2,528,14751,1,1
01.01.2024,12.07.2022,SO61284,2,480,27477,4,2
01.01.2024,11.01.2022,SO61284,2,538,27477,4,1
01.01.2024,11.02.2022,SO61290,2,478,23011,4,1
01.01.2024,11/26/2022,SO61290,1,477,23011,4,2
01.01.2024,9/28/2022,SO61280,1,214,11891,4,1
01.01.2024,11/26/2022,SO61309,1,354,13625,9,1
01.01.2024,11.01.2022,SO61309,1,483,13625,9,2
01.01.2024,9/27/2022,SO61302,2,477,14486,4,2
01.01.2024,11/29/2022,SO61302,2,478,14486,4,3
01.01.2024,11/28/2022,SO61302,1,362,14486,4,1
01.01.2024,11.09.2022,SO61277,2,223,15050,8,3
01.01.2024,10/19/2022,SO61277,1,490,15050,8,2
01.01.2024,11.03.2022,SO61277,1,594,15050,8,1
01.01.2024,12.05.2022,SO61299,2,528,12411,4,2
01.01.2024,09.12.2022,SO61299,1,537,12411,4,1
01.01.2024,12.06.2022,SO61297,3,541,12627,10,1
01.01.2024,11/30/2022,SO61297,2,477,12627,10,4
01.01.2024,09.06.2022,SO61297,2,479,12627,10,3
01.01.2024,12/14/2022,SO61297,2,530,12627,10,2
01.01.2024,11/30/2022,SO61297,1,489,12627,10,5
01.01.2024,9/28/2022,SO61306,2,477,23431,9,3
01.01.2024,9/23/2022,SO61306,2,479,23431,9,2
01.01.2024,09.12.2022,SO61306,1,580,23431,9,1
01.01.2024,9/19/2022,SO61275,1,220,13996,9,1
01.01.2024,11/14/2022,SO61282,1,480,11306,4,1
01.01.2024,10/13/2022,SO61308,2,477,20246,9,2
01.01.2024,10.07.2022,SO61308,2,479,20246,9,3
01.01.2024,10/25/2022,SO61308,1,371,20246,9,1
01.01.2024,9/20/2022,SO61300,2,477,13164,4,3
01.01.2024,10.10.2022,SO61300,2,478,13164,4,2
01.01.2024,11/24/2022,SO61300,2,485,13164,4,1
01.01.2024,10.10.2022,SO61300,1,471,13164,4,4
01.01.2024,11.04.2022,SO61293,2,477,18083,1,1
01.01.2024,9/19/2022,SO61293,1,220,18083,1,2
01.01.2024,10.08.2022,SO61293,1,232,18083,1,3
01.01.2024,12/15/2022,SO61311,2,479,22466,7,2
01.01.2024,09.03.2022,SO61311,1,606,22466,7,1
01.01.2024,9/24/2022,SO61292,2,477,22012,4,2
01.01.2024,10/17/2022,SO61292,2,478,22012,4,1
01.01.2024,11.04.2022,SO61287,2,477,15760,6,2
01.01.2024,10/15/2022,SO61287,2,478,15760,6,1
01.01.2024,10/27/2022,SO61287,1,489,15760,6,3
01.01.2024,12.01.2022,SO61296,2,485,14996,8,1
01.01.2024,9/13/2022,SO61312,1,566,29082,9,1
01.01.2024,9/28/2022,SO61273,2,477,23430,9,1
01.01.2024,11/24/2022,SO61304,2,477,12473,10,2
01.01.2024,11/28/2022,SO61304,2,479,12473,10,3
01.01.2024,10.03.2022,SO61304,1,214,12473,10,4
01.01.2024,11/16/2022,SO61304,1,560,12473,10,1
01.01.2024,11/24/2022,SO61281,3,539,28808,1,1
01.01.2024,11.05.2022,SO61303,1,220,13602,10,2
01.01.2024,12/17/2022,SO61303,1,563,13602,10,1
01.02.2024,11.10.2022,SO61367,2,477,11099,9,2
01.02.2024,09.08.2022,SO61367,1,479,11099,9,3
01.02.2024,11.08.2022,SO61367,1,489,11099,9,4
01.02.2024,9/16/2022,SO61367,1,575,11099,9,1
01.02.2024,11.08.2022,SO61315,2,223,15146,9,5
01.02.2024,10.09.2022,SO61315,2,529,15146,9,2
01.02.2024,12.07.2022,SO61315,1,220,15146,9,3
01.02.2024,09.05.2022,SO61315,1,490,15146,9,4
01.02.2024,9/19/2022,SO61315,1,539,15146,9,1
01.02.2024,10.09.2022,SO61349,3,541,12563,10,1
01.02.2024,10.11.2022,SO61349,1,215,12563,10,3
01.02.2024,10.03.2022,SO61349,1,530,12563,10,2
01.02.2024,11.09.2022,SO61355,1,226,12563,10,1
01.02.2024,12.09.2022,SO61370,1,214,11464,9,2
01.02.2024,11/13/2022,SO61370,1,561,11464,9,1
01.02.2024,11.10.2022,SO61332,2,528,25967,4,2
01.02.2024,09.08.2022,SO61332,2,535,25967,4,1
01.02.2024,11/23/2022,SO61351,2,485,11201,4,2
01.02.2024,9/15/2022,SO61351,1,214,11201,4,3
01.02.2024,9/15/2022,SO61351,1,537,11201,4,1
01.02.2024,10.11.2022,SO61365,1,214,20683,4,2
01.02.2024,11.10.2022,SO61365,1,582,20683,4,1
01.02.2024,11/25/2022,SO61320,2,477,28943,9,2
01.02.2024,11.01.2022,SO61320,2,478,28943,9,1
01.02.2024,10/29/2022,SO61320,1,214,28943,9,3
01.02.2024,9/13/2022,SO61362,2,480,13648,9,2
01.02.2024,9/28/2022,SO61362,1,358,13648,9,1
01.02.2024,9/27/2022,SO61342,3,528,12497,8,1
01.02.2024,09.08.2022,SO61342,2,480,12497,8,3
01.02.2024,10/19/2022,SO61342,1,537,12497,8,2
01.02.2024,11/24/2022,SO61358,2,485,14456,1,2
01.02.2024,11/23/2022,SO61358,1,354,14456,1,1
01.02.2024,9/14/2022,SO61358,1,472,14456,1,3
01.02.2024,10/22/2022,SO61369,1,565,29084,9,1
01.02.2024,10/21/2022,SO61319,3,529,20262,9,1
01.02.2024,09.07.2022,SO61319,2,480,20262,9,3
01.02.2024,12.09.2022,SO61319,2,538,20262,9,2
01.02.2024,09.10.2022,SO61364,2,223,24684,4,2
01.02.2024,12.05.2022,SO61364,1,562,24684,4,1
01.02.2024,9/26/2022,SO61359,1,354,14420,1,1
01.02.2024,10.07.2022,SO61343,2,464,22672,10,1
01.02.2024,12.09.2022,SO61343,1,477,22672,10,2
01.02.2024,11/15/2022,SO61333,2,536,11091,6,2
01.02.2024,10.12.2022,SO61333,1,528,11091,6,1
01.02.2024,09.12.2022,SO61316,3,536,21187,9,1
01.02.2024,12.07.2022,SO61316,1,480,21187,9,2
01.02.2024,10/19/2022,SO61313,3,223,11427,8,2
01.02.2024,12.05.2022,SO61313,1,220,11427,8,3
01.02.2024,10/28/2022,SO61313,1,583,11427,8,1
01.02.2024,10.09.2022,SO61328,1,490,11684,1,1
01.02.2024,10.06.2022,SO61330,2,529,24394,4,2
01.02.2024,11/19/2022,SO61330,1,540,24394,4,1
01.02.2024,11/17/2022,SO61339,2,485,14409,4,1
01.02.2024,10.07.2022,SO61339,1,472,14409,4,2
01.02.2024,10.02.2022,SO61352,1,537,12135,4,1
01.02.2024,10/16/2022,SO61366,2,477,14185,7,2
01.02.2024,12.09.2022,SO61366,2,479,14185,7,3
01.02.2024,09.05.2022,SO61366,1,487,14185,7,4
01.02.2024,11/24/2022,SO61366,1,564,14185,7,1
01.02.2024,10/19/2022,SO61340,3,478,13737,4,2
01.02.2024,12/17/2022,SO61340,3,485,13737,4,1
01.02.2024,09.04.2022,SO61340,2,477,13737,4,3
01.02.2024,10.02.2022,SO61340,2,480,13737,4,4
01.02.2024,10.09.2022,SO61324,1,220,25445,8,2
01.02.2024,11/29/2022,SO61324,1,580,25445,8,1
01.02.2024,09.07.2022,SO61345,3,528,20135,8,2
01.02.2024,11/13/2022,SO61345,1,214,20135,8,3
01.02.2024,12.06.2022,SO61345,1,536,20135,8,1
01.02.2024,12.01.2022,SO61325,3,466,21683,10,3
01.02.2024,11/15/2022,SO61325,1,488,21683,10,2
01.02.2024,12.05.2022,SO61325,1,583,21683,10,1
01.02.2024,11/23/2022,SO61335,1,476,19864,1,1
01.02.2024,11/13/2022,SO61347,2,462,21816,8,2
01.02.2024,11.05.2022,SO61347,1,477,21816,8,1
01.02.2024,11/28/2022,SO61347,1,490,21816,8,3
01.02.2024,11.06.2022,SO61323,1,220,17848,8,2
01.02.2024,11.08.2022,SO61323,1,580,17848,8,1
01.02.2024,10.01.2022,SO61331,2,480,11262,6,3
01.02.2024,9/23/2022,SO61331,2,529,11262,6,2
01.02.2024,11/16/2022,SO61331,1,540,11262,6,1
01.02.2024,9/16/2022,SO61334,2,480,22239,4,2
01.02.2024,12/18/2022,SO61334,2,536,22239,4,1
01.02.2024,10/28/2022,SO61329,3,541,27065,4,1
